Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 37.00      1.95     1.95     6172     0.00     0.00  inside(Graph const&, std::vector<int, std::allocator<int> > const&, int)
 29.22      3.49     1.54 82877616     0.00     0.00  angle(std::pair<int, int>, std::pair<int, int>, std::pair<int, int>)
  5.41      3.77     0.28 331708802     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  5.31      4.05     0.28 165755232     0.00     0.00  std::pair<int, int>::pair<int, int, true>(int&&, int&&)
  4.65      4.30     0.24 165755232     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
  4.46      4.54     0.23 165755232     0.00     0.00  __gnu_cxx::__promote_2<int, int, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::atan2<int, int>(int, int)
  3.98      4.75     0.21 82877616     0.00     0.00  std::pair<int, int>::pair<int&, int&, true>(int&, int&)
  2.94      4.90     0.15 165755232     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  2.94      5.05     0.15 83071493     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  1.71      5.14     0.09                             _init
  0.66      5.18     0.04        6     0.01     0.01  std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::pair<char const (&) [5], char const (&) [5], true>(char const (&) [5], char const (&) [5])
  0.66      5.21     0.04        1     0.04     0.04  std::map<int, bool, std::less<int>, std::allocator<std::pair<int const, bool> > >::clear()
  0.47      5.24     0.03        1     0.03     0.03  std::_Deque_base<int, std::allocator<int> >::_Deque_impl::~_Deque_impl()
  0.19      5.25     0.01   130031     0.00     0.00  std::_Rb_tree_node<std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_valptr() const
  0.19      5.26     0.01    40285     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<int const, bool> > const&, std::_Rb_tree_iterator<std::pair<int const, bool> > const&)
  0.19      5.27     0.01    24592     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      5.27     0.00   720727     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00      5.27     0.00   701286     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, bool> >::_M_ptr() const
  0.00      5.27     0.00   701286     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, bool> >::_M_addr() const
  0.00      5.27     0.00   701286     0.00     0.00  std::_Select1st<std::pair<int const, bool> >::operator()(std::pair<int const, bool> const&) const
  0.00      5.27     0.00   701286     0.00     0.00  std::_Rb_tree_node<std::pair<int const, bool> >::_M_valptr() const
  0.00      5.27     0.00   701286     0.00     0.00  std::_Rb_tree<int, std::pair<int const, bool>, std::_Select1st<std::pair<int const, bool> >, std::less<int>, std::allocator<std::pair<int const, bool> > >::_S_key(std::_Rb_tree_node<std::pair<int const, bool> > const*)
  0.00      5.27     0.00   439084     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      5.27     0.00   395154     0.00     0.00  std::_Rb_tree<int, std::pair<int const, bool>, std::_Select1st<std::pair<int const, bool> >, std::less<int>, std::allocator<std::pair<int const, bool> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      5.27     0.00   291813     0.00     0.00  std::_Rb_tree<int, std::pair<int const, bool>, std::_Select1st<std::pair<int const, bool> >, std::less<int>, std::allocator<std::pair<int const, bool> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      5.27     0.00   272298     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      5.27     0.00   242144     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      5.27     0.00   205090     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      5.27     0.00   192819     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      5.27     0.00   192797     0.00     0.00  std::hash<int>::operator()(int) const
  0.00      5.27     0.00   192797     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      5.27     0.00   192797     0.00     0.00  std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash() const
  0.00      5.27     0.00   192797     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<int>, true>::_M_cget() const
  0.00      5.27     0.00   181245     0.00     0.00  operator new(unsigned long, void*)
  0.00      5.27     0.00   180370     0.00     0.00  int const& std::__detail::_Identity::operator()<int const&>(int const&) const
  0.00      5.27     0.00   157689     0.00     0.00  std::__detail::_Hash_node<int, false>::_M_next() const
  0.00      5.27     0.00   156844     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >::_M_node_allocator()
  0.00      5.27     0.00   156844     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<int, false> >, true>::_M_get()
  0.00      5.27     0.00   141170     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_ptr() const
  0.00      5.27     0.00   141170     0.00     0.00  __gnu_cxx::__aligned_buffer<int>::_M_addr() const
  0.00      5.27     0.00   141170     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_v() const
  0.00      5.27     0.00   141170     0.00     0.00  std::__detail::_Hash_node_value_base<int>::_M_valptr() const
  0.00      5.27     0.00   136324     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      5.27     0.00   130031     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_ptr() const
