Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01    13428     0.00     0.00  std::_Rb_tree<int, std::pair<int const, bool>, std::_Select1st<std::pair<int const, bool> >, std::less<int>, std::allocator<std::pair<int const, bool> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, bool> >, int const&)
  0.00      0.01     0.00   720727     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
  0.00      0.01     0.00   701286     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, bool> >::_M_ptr() const
  0.00      0.01     0.00   701286     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, bool> >::_M_addr() const
  0.00      0.01     0.00   701286     0.00     0.00  std::_Select1st<std::pair<int const, bool> >::operator()(std::pair<int const, bool> const&) const
  0.00      0.01     0.00   701286     0.00     0.00  std::_Rb_tree_node<std::pair<int const, bool> >::_M_valptr() const
  0.00      0.01     0.00   701286     0.00     0.00  std::_Rb_tree<int, std::pair<int const, bool>, std::_Select1st<std::pair<int const, bool> >, std::less<int>, std::allocator<std::pair<int const, bool> > >::_S_key(std::_Rb_tree_node<std::pair<int const, bool> > const*)
  0.00      0.01     0.00   395154     0.00     0.00  std::_Rb_tree<int, std::pair<int const, bool>, std::_Select1st<std::pair<int const, bool> >, std::less<int>, std::allocator<std::pair<int const, bool> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.01     0.00   291813     0.00     0.00  std::_Rb_tree<int, std::pair<int const, bool>, std::_Select1st<std::pair<int const, bool> >, std::less<int>, std::allocator<std::pair<int const, bool> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.01     0.00   175318     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.01     0.00   161226     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.01     0.00   134342     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.01     0.00   130031     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_ptr() const
  0.00      0.01     0.00   130031     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_addr() const
  0.00      0.01     0.00   130031     0.00     0.00  std::_Rb_tree_node<std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_valptr() const
  0.00      0.01     0.00   107485     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.01     0.00   107456     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.01     0.00   107426     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, bool> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.01     0.00   107424     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.01     0.00   107169     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, bool> >::_M_ptr()
  0.00      0.01     0.00   107169     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, bool> >::_M_addr()
  0.00      0.01     0.00   107169     0.00     0.00  std::_Rb_tree_node<std::pair<int const, bool> >::_M_valptr()
  0.00      0.01     0.00   103173     0.00     0.00  std::less<char>::operator()(char const&, char const&) const
  0.00      0.01     0.00    95273     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.01     0.00    80613     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.01     0.00    80313     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, bool> >::operator*() const
  0.00      0.01     0.00    76326     0.00     0.00  std::_Select1st<std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator()(std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&) const
  0.00      0.01     0.00    76315     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::_Select1st<std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >, std::less<char>, std::allocator<std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::_S_key(std::_Rb_tree_node<std::pair<char const, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const*)
  0.00      0.01     0.00    67387     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.01     0.00    67354     0.00     0.00  std::hash<int>::operator()(int) const
